set abbreviation,set name,card name,price
SWSH03,Darkness Ablaze,Galarian Stunfisk V (Full Art),1.89
SWSH03,Darkness Ablaze,Glimwood Tangle,0.13
SWSH03,Darkness Ablaze,Golett,0.02
SWSH03,Darkness Ablaze,Golisopod,0.33
SWSH03,Darkness Ablaze,Golurk,0.09
SWSH03,Darkness Ablaze,Gothita,0.02
SWSH03,Darkness Ablaze,Gothitelle,0.13
SWSH03,Darkness Ablaze,Gothorita,0.04
SWSH03,Darkness Ablaze,Granbull,0.07
SWSH03,Darkness Ablaze,Greedent,0.18
SWSH03,Darkness Ablaze,Grimer,0.04
SWSH03,Darkness Ablaze,Grimmsnarl V,0.94
SWSH03,Darkness Ablaze,Grimmsnarl VMAX,1.81
SWSH03,Darkness Ablaze,Heat R Energy,0.24
SWSH03,Darkness Ablaze,Heatran,0.25
SWSH03,Darkness Ablaze,Hiding D Energy,0.28
SWSH03,Darkness Ablaze,Hippopotas,0.02
SWSH03,Darkness Ablaze,Hippowdon,0.17
SWSH03,Darkness Ablaze,Hoopa,0.37
SWSH03,Darkness Ablaze,Houndoom V,1.02
SWSH03,Darkness Ablaze,Houndoom V (Full Art),2.28
SWSH03,Darkness Ablaze,Hydreigon,0.19
SWSH03,Darkness Ablaze,Jigglypuff,0.04
SWSH03,Darkness Ablaze,Kabu,0.05
SWSH03,Darkness Ablaze,Kabu (Full Art),1.75
SWSH03,Darkness Ablaze,Kangaskhan,0.39
SWSH03,Darkness Ablaze,Karrablast,0.02
SWSH03,Darkness Ablaze,Klang,0.04
SWSH03,Darkness Ablaze,Klink,0.05
SWSH03,Darkness Ablaze,Klinklang,0.15
SWSH03,Darkness Ablaze,Lairon,0.03
SWSH03,Darkness Ablaze,Larvesta,0.03
SWSH03,Darkness Ablaze,Larvitar,0.03
SWSH03,Darkness Ablaze,Liepard,0.12
SWSH03,Darkness Ablaze,Lugia,0.19
SWSH03,Darkness Ablaze,Lunatone,0.03
SWSH03,Darkness Ablaze,Manectric,0.11
SWSH03,Darkness Ablaze,Mareanie,0.04
SWSH03,Darkness Ablaze,Mareep,0.06
SWSH03,Darkness Ablaze,Melmetal,0.13
SWSH03,Darkness Ablaze,Meltan,0.03
SWSH03,Darkness Ablaze,Mew V,1.48
SWSH03,Darkness Ablaze,Milotic,0.43
SWSH03,Darkness Ablaze,Mimikyu,0.13
SWSH03,Darkness Ablaze,Morelull,0.03
SWSH03,Darkness Ablaze,Muk,0.12
SWSH03,Darkness Ablaze,Nickit,0.02
SWSH03,Darkness Ablaze,Old PC,0.07
SWSH03,Darkness Ablaze,Panpour,0.02
SWSH03,Darkness Ablaze,Pansage,0.02
SWSH03,Darkness Ablaze,Pansear,0.02
SWSH03,Darkness Ablaze,Paras,0.03
SWSH03,Darkness Ablaze,Parasect,0.02
SWSH03,Darkness Ablaze,Passimian,0.02
SWSH03,Darkness Ablaze,Piers,0.12
SWSH03,Darkness Ablaze,Piers (Full Art),2.37
SWSH03,Darkness Ablaze,Pincurchin,0.24
SWSH03,Darkness Ablaze,Pokemon Breeder's Nurturing,0.13
SWSH03,Darkness Ablaze,Pokemon Breeder's Nurturing (Full Art),1.97
SWSH03,Darkness Ablaze,Pokemon Breeder's Nurturing (Secret),4.66
SWSH03,Darkness Ablaze,Polteageist,0.06
SWSH03,Darkness Ablaze,Powerful C Energy,1.19
SWSH03,Darkness Ablaze,Pupitar,0.04
SWSH03,Darkness Ablaze,Purrloin,0.05
SWSH03,Darkness Ablaze,Rare Fossil,0.07
SWSH03,Darkness Ablaze,Relicanth,0.03
SWSH03,Darkness Ablaze,Rhyperior V,0.79
SWSH03,Darkness Ablaze,Rhyperior V (Full Art),2.05
SWSH03,Darkness Ablaze,Rillaboom (Secret),7.67
SWSH03,Darkness Ablaze,Rookidee,0.04
SWSH03,Darkness Ablaze,Rose,0.1
SWSH03,Darkness Ablaze,Rose (Full Art),1.74
SWSH03,Darkness Ablaze,Rose (Secret),4.69
SWSH03,Darkness Ablaze,Rose Tower,0.18
SWSH03,Darkness Ablaze,Rowlet,0.04
SWSH03,Darkness Ablaze,Salamence V,0.95
SWSH03,Darkness Ablaze,Salamence V (Full Art),2.74
SWSH03,Darkness Ablaze,Salamence VMAX,2.94
SWSH03,Darkness Ablaze,Salamence VMAX (Secret),9.62
SWSH03,Darkness Ablaze,Scizor V,1.28
SWSH03,Darkness Ablaze,Scizor V (Full Art),2.01
SWSH03,Darkness Ablaze,Scizor VMAX,2.46
SWSH03,Darkness Ablaze,Scizor VMAX (Secret),8.72
SWSH03,Darkness Ablaze,Sentret,0.03
SWSH03,Darkness Ablaze,Shelmet,0.02
SWSH03,Darkness Ablaze,Shiinotic,0.06
SWSH03,Darkness Ablaze,Simipour,0.03
SWSH03,Darkness Ablaze,Simisage,0.02
SWSH03,Darkness Ablaze,Simisear,0.02
SWSH03,Darkness Ablaze,Sinistea,0.06
SWSH03,Darkness Ablaze,Skarmory,0.02
SWSH03,Darkness Ablaze,Skitty,0.04
SWSH03,Darkness Ablaze,Skwovet,0.02
SWSH03,Darkness Ablaze,Snubbull,0.02
SWSH03,Darkness Ablaze,Solrock,0.02
SWSH03,Darkness Ablaze,Spikemuth,0.07
SWSH03,Darkness Ablaze,Spinarak,0.04
SWSH03,Darkness Ablaze,Staraptor,0.18
SWSH03,Darkness Ablaze,Staravia,0.02
SWSH03,Darkness Ablaze,Starly,0.03
SWSH03,Darkness Ablaze,Steenee,0.04
SWSH03,Darkness Ablaze,Struggle Gloves,0.04
SWSH03,Darkness Ablaze,Suicune,0.51
SWSH03,Darkness Ablaze,Swanna,0.1
SWSH03,Darkness Ablaze,Talonflame,0.15
SWSH03,Darkness Ablaze,Tapu Koko,0.29
SWSH03,Darkness Ablaze,Tauros,0.05
SWSH03,Darkness Ablaze,Teddiursa,0.03
SWSH03,Darkness Ablaze,Thievul,0.1
SWSH03,Darkness Ablaze,Torchic,0.05
SWSH03,Darkness Ablaze,Toxapex,0.04
SWSH03,Darkness Ablaze,Toxel,0.03
SWSH03,Darkness Ablaze,Toxtricity,0.2
SWSH03,Darkness Ablaze,Trapinch,0.03
SWSH03,Darkness Ablaze,Tsareena,0.12
SWSH03,Darkness Ablaze,Turbo Patch,0.08
SWSH03,Darkness Ablaze,Turbo Patch (Secret),2.69
SWSH03,Darkness Ablaze,Tyranitar,0.32
SWSH03,Darkness Ablaze,Ursaring,0.02
SWSH03,Darkness Ablaze,Vanillish,0.03
SWSH03,Darkness Ablaze,Vanillite,0.03
SWSH03,Darkness Ablaze,Vanilluxe,0.16
SWSH03,Darkness Ablaze,Vibrava,0.03
SWSH03,Darkness Ablaze,Vikavolt V,1.3
SWSH03,Darkness Ablaze,Vikavolt V (Full Art),3.22
SWSH03,Darkness Ablaze,Volcarona,0.13
SWSH03,Darkness Ablaze,Wigglytuff,0.14
SWSH03,Darkness Ablaze,Wimpod,0.02
SWSH03,Darkness Ablaze,Wishiwashi,0.02
SWSH03,Darkness Ablaze,Yell Horn,0.13
SWSH03,Darkness Ablaze,Zweilous,0.04
SWSH04,Vivid Voltage,Aegislash V,0.61
SWSH04,Vivid Voltage,Aegislash V (Full Art),3.01
SWSH04,Vivid Voltage,Aegislash VMAX,1.51
SWSH04,Vivid Voltage,Aegislash VMAX (Secret),7.5
SWSH04,Vivid Voltage,Alakazam V (Full Art),1.83
SWSH04,Vivid Voltage,Alcremie,0.09
SWSH04,Vivid Voltage,Allister,0.05
SWSH04,Vivid Voltage,Allister (Full Art),3.57
SWSH04,Vivid Voltage,Allister (Secret),5.31
SWSH04,Vivid Voltage,Ampharos V,0.61
SWSH04,Vivid Voltage,Ampharos V (Full Art),3.25
SWSH04,Vivid Voltage,Aromatic Grass Energy,0.08
SWSH04,Vivid Voltage,Arrokuda,0.02
SWSH04,Vivid Voltage,Banette,0.13
SWSH04,Vivid Voltage,Barraskewda,0.1
SWSH04,Vivid Voltage,Bea,0.05
SWSH04,Vivid Voltage,Bea (Full Art),9.42
SWSH04,Vivid Voltage,Bea (Secret),6.91
SWSH04,Vivid Voltage,Beauty,0.05
SWSH04,Vivid Voltage,Beauty (Full Art),3.57
SWSH04,Vivid Voltage,Beauty (Secret),4.76
SWSH04,Vivid Voltage,Beedrill,0.11
SWSH04,Vivid Voltage,Beldum,0.03
SWSH04,Vivid Voltage,Blitzle,0.03
SWSH04,Vivid Voltage,Cape of Toughness (Secret),3.85
SWSH04,Vivid Voltage,Cara Liss,0.03
SWSH04,Vivid Voltage,Celebi,1.34
SWSH04,Vivid Voltage,Charizard,2.77
SWSH04,Vivid Voltage,Charmander,0.14
SWSH04,Vivid Voltage,Charmeleon,0.07
SWSH04,Vivid Voltage,Chatot,0.03
SWSH04,Vivid Voltage,Chewtle,0.03
SWSH04,Vivid Voltage,Chimecho,0.04
SWSH04,Vivid Voltage,Circhester Bath,0.03
SWSH04,Vivid Voltage,Clefable,0.11
SWSH04,Vivid Voltage,Clefairy,0.04
SWSH04,Vivid Voltage,Clobbopus,0.02
SWSH04,Vivid Voltage,Coalossal V,0.74
SWSH04,Vivid Voltage,Coalossal V (Full Art),2.55
SWSH04,Vivid Voltage,Coalossal VMAX,1.49
SWSH04,Vivid Voltage,Coalossal VMAX (Secret),8.07
SWSH04,Vivid Voltage,Coating Metal Energy,0.06
SWSH04,Vivid Voltage,Cottonee,0.02
SWSH04,Vivid Voltage,Cramorant,0.05
SWSH04,Vivid Voltage,Dedenne,0.03
SWSH04,Vivid Voltage,Dewott,0.04
SWSH04,Vivid Voltage,Dhelmise,0.03
SWSH04,Vivid Voltage,Dialga,0.25
SWSH04,Vivid Voltage,Diancie,0.26
SWSH04,Vivid Voltage,Donphan,0.16
SWSH04,Vivid Voltage,Drapion V,0.69
SWSH04,Vivid Voltage,Drapion V (Full Art),2.52
SWSH04,Vivid Voltage,Drednaw,0.12
SWSH04,Vivid Voltage,Drilbur,0.04
SWSH04,Vivid Voltage,Drone Rotom,0.03
SWSH04,Vivid Voltage,Duraludon,0.22
SWSH04,Vivid Voltage,Dusclops,0.04
SWSH04,Vivid Voltage,Dusknoir,0.26
SWSH04,Vivid Voltage,Duskull,0.02
SWSH04,Vivid Voltage,Eelektrik,0.02
SWSH04,Vivid Voltage,Eelektross,0.09
SWSH04,Vivid Voltage,Eevee,0.08
SWSH04,Vivid Voltage,Electrike,0.02
SWSH04,Vivid Voltage,Electrode,0.32
SWSH04,Vivid Voltage,Excadrill,0.03
SWSH04,Vivid Voltage,Exeggcute,0.02
SWSH04,Vivid Voltage,Exeggutor,0.1
SWSH04,Vivid Voltage,Exploud,0.11
SWSH04,Vivid Voltage,Ferroseed,0.03
SWSH04,Vivid Voltage,Ferrothorn,0.02
SWSH04,Vivid Voltage,Flareon,0.22
SWSH04,Vivid Voltage,Forretress,0.09
SWSH04,Vivid Voltage,Galarian Darmanitan V,0.65
SWSH04,Vivid Voltage,Galarian Darmanitan V (Full Art),2.09
SWSH04,Vivid Voltage,Galarian Darmanitan VMAX,1.25
SWSH04,Vivid Voltage,Galarian Darmanitan VMAX (Secret),7.68
SWSH04,Vivid Voltage,Galarian Meowth,0.03
SWSH04,Vivid Voltage,Galarian Obstagoon (Secret),5.73
SWSH04,Vivid Voltage,Galarian Perrserker,0.09
SWSH04,Vivid Voltage,Galarian Sirfetch'd V (Full Art),1.34
SWSH04,Vivid Voltage,Galarian Stunfisk,0.03
SWSH04,Vivid Voltage,Galvantula,0.03
SWSH04,Vivid Voltage,Garbodor,0.11
SWSH04,Vivid Voltage,Genesect,0.28
SWSH04,Vivid Voltage,Girafarig,0.04
SWSH04,Vivid Voltage,Gogoat,0.02
SWSH04,Vivid Voltage,Grapploct,0.1
SWSH04,Vivid Voltage,Hero's Medal,0.04
SWSH04,Vivid Voltage,Hero's Medal (Secret),2.26
SWSH04,Vivid Voltage,Hitmontop,0.03
SWSH04,Vivid Voltage,Jirachi,1.66
SWSH04,Vivid Voltage,Jolteon,0.23
SWSH04,Vivid Voltage,Joltik,0.04
SWSH04,Vivid Voltage,Kakuna,0.03
SWSH04,Vivid Voltage,Krokorok,0.03
SWSH04,Vivid Voltage,Krookodile,0.16
SWSH04,Vivid Voltage,League Staff,0.03
SWSH04,Vivid Voltage,Leon,0.24
SWSH04,Vivid Voltage,Leon (Full Art),8.7
SWSH04,Vivid Voltage,Leon (Secret),6.09
SWSH04,Vivid Voltage,Loudred,0.04
SWSH04,Vivid Voltage,Lucario,0.14
SWSH04,Vivid Voltage,Lugia,0.54
SWSH04,Vivid Voltage,Lycanroc,0.11
SWSH04,Vivid Voltage,Magcargo,0.03
SWSH04,Vivid Voltage,Magearna,0.24
SWSH04,Vivid Voltage,Manectric,0.11
SWSH04,Vivid Voltage,Memory Capsule,0.07
SWSH04,Vivid Voltage,Memory Capsule (Secret),2.76
SWSH04,Vivid Voltage,Metagross,0.16
SWSH04,Vivid Voltage,Metang,0.03
SWSH04,Vivid Voltage,Mightyena,0.07
SWSH04,Vivid Voltage,Milcery,0.03
SWSH04,Vivid Voltage,Moomoo Cheese,0.06
SWSH04,Vivid Voltage,Mudbray,0.03
SWSH04,Vivid Voltage,Mudsdale,0.15
SWSH04,Vivid Voltage,Nessa,0.1
SWSH04,Vivid Voltage,Nessa (Full Art),7.95
SWSH04,Vivid Voltage,Nessa (Secret),8.21
SWSH04,Vivid Voltage,Nincada,0.05
SWSH04,Vivid Voltage,Ninjask,0.11
SWSH04,Vivid Voltage,Nuzleaf,0.04
SWSH04,Vivid Voltage,Opal,0.05
SWSH04,Vivid Voltage,Opal (Full Art),1.79
SWSH04,Vivid Voltage,Opal (Secret),3.74
SWSH04,Vivid Voltage,Oranguru (Secret),5.14
SWSH04,Vivid Voltage,Orbeetle V,0.62
SWSH04,Vivid Voltage,Orbeetle V (Full Art),2.37
SWSH04,Vivid Voltage,Orbeetle VMAX,1.66
SWSH04,Vivid Voltage,Orbeetle VMAX (Secret),6.93
SWSH04,Vivid Voltage,Oshawott,0.04
SWSH04,Vivid Voltage,Phanpy,0.03
SWSH04,Vivid Voltage,Pikachu V,1
SWSH04,Vivid Voltage,Pikachu V (Full Art),16.47
SWSH04,Vivid Voltage,Pikachu VMAX,4.39
SWSH04,Vivid Voltage,Pikachu VMAX (Secret),168.76
SWSH04,Vivid Voltage,Pikipek,0.01
SWSH04,Vivid Voltage,Pincurchin,0.02
SWSH04,Vivid Voltage,Pineco,0.05
SWSH04,Vivid Voltage,Pokemon Center Lady (Full Art),12.49
SWSH04,Vivid Voltage,Poochyena,0.03
SWSH04,Vivid Voltage,Quagsire,0.11
SWSH04,Vivid Voltage,Raikou,6.62
SWSH04,Vivid Voltage,Rayquaza,5.65
SWSH04,Vivid Voltage,Regirock,0.32
SWSH04,Vivid Voltage,Riolu,0.02
SWSH04,Vivid Voltage,Rockruff,0.04
SWSH04,Vivid Voltage,Rocky Helmet,0.03
SWSH04,Vivid Voltage,Sableye,0.05
SWSH04,Vivid Voltage,Samurott,0.15
SWSH04,Vivid Voltage,Sandile,0.03
SWSH04,Vivid Voltage,Seedot,0.02
SWSH04,Vivid Voltage,Shaymin,0.25
SWSH04,Vivid Voltage,Shedinja,0.17
SWSH04,Vivid Voltage,Shiftry,0.11
SWSH04,Vivid Voltage,Shuckle,0.06
SWSH04,Vivid Voltage,Shuppet,0.03
SWSH04,Vivid Voltage,Skiddo,0.02
SWSH04,Vivid Voltage,Slugma,0.02
SWSH04,Vivid Voltage,Snorlax,1.72
SWSH04,Vivid Voltage,Steelix V,0.61
SWSH04,Vivid Voltage,Steelix V (Full Art),2.81
SWSH04,Vivid Voltage,Stone Fighting Energy,0.1
SWSH04,Vivid Voltage,Swellow,0.03
SWSH04,Vivid Voltage,Swoobat,0.02
SWSH04,Vivid Voltage,Taillow,0.02
SWSH04,Vivid Voltage,Talonflame V,0.65
SWSH04,Vivid Voltage,Talonflame V (Full Art),2.8
SWSH04,Vivid Voltage,Telescopic Sight,0.05
SWSH04,Vivid Voltage,Telescopic Sight (Secret),2.45
SWSH04,Vivid Voltage,Terrakion,0.12
SWSH04,Vivid Voltage,Togekiss V,0.57
SWSH04,Vivid Voltage,Togekiss V (Full Art),2.56
SWSH04,Vivid Voltage,Togekiss VMAX,1.6
SWSH04,Vivid Voltage,Togekiss VMAX (Secret),7.97
SWSH04,Vivid Voltage,Tornadus,0.27
SWSH04,Vivid Voltage,Toucannon,0.11
SWSH04,Vivid Voltage,Trubbish,0.02
SWSH04,Vivid Voltage,Trumbeak,0.05
SWSH04,Vivid Voltage,Tynamo,0.02
SWSH04,Vivid Voltage,Vaporeon,0.2
SWSH04,Vivid Voltage,Voltorb,0.03
SWSH04,Vivid Voltage,Wailmer,0.04
SWSH04,Vivid Voltage,Wailord,0.37
SWSH04,Vivid Voltage,Wash Water Energy,0.15
SWSH04,Vivid Voltage,Weedle,0.03
SWSH04,Vivid Voltage,Whimsicott,0.09
SWSH04,Vivid Voltage,Whismur,0.02
SWSH04,Vivid Voltage,Woobat,0.02
SWSH04,Vivid Voltage,Wooper,0.04
SWSH04,Vivid Voltage,Wyndon Stadium,0.05
SWSH04,Vivid Voltage,Xerneas,0.31
SWSH04,Vivid Voltage,Yanma,0.04
SWSH04,Vivid Voltage,Yanmega,0.12
SWSH04,Vivid Voltage,Zacian,1.7
SWSH04,Vivid Voltage,Zamazenta,1.01
SWSH04,Vivid Voltage,Zapdos,0.35
SWSH04,Vivid Voltage,Zarude V,0.66
SWSH04,Vivid Voltage,Zarude V (Full Art),3
SWSH04,Vivid Voltage,Zebstrika,0.04
SWSH04,Vivid Voltage,Zekrom,0.45
SWSH04,Vivid Voltage,Zeraora,0.61
SWSH04,Vivid Voltage,Zygarde,0.2
SWSH05,Battle Styles,Aegislash (107),0.2
SWSH05,Battle Styles,Aegislash (108),0.1
SWSH05,Battle Styles,Baltoy,0.03
SWSH05,Battle Styles,Bellsprout,0.04
SWSH05,Battle Styles,Bisharp,0.03
SWSH05,Battle Styles,Blipbug,0.02
SWSH05,Battle Styles,Boltund,0.1
SWSH05,Battle Styles,Bouffalant,0.03
SWSH05,Battle Styles,Bronzong,0.29
SWSH05,Battle Styles,Bronzor,0.06
SWSH05,Battle Styles,Bruno,0.07
SWSH05,Battle Styles,Bruno (Full Art),2.77
SWSH05,Battle Styles,Bruno (Secret),5.59
SWSH05,Battle Styles,Bruxish,0.03
SWSH05,Battle Styles,Cacnea,0.02
SWSH05,Battle Styles,Cacturne,0.05
SWSH05,Battle Styles,Camping Gear,0.05
SWSH05,Battle Styles,Carkol,0.04
SWSH05,Battle Styles,Carnivine,0.03
SWSH05,Battle Styles,Centiskorch,0.12
SWSH05,Battle Styles,Cherrim,0.43
SWSH05,Battle Styles,Cherubi,0.03
SWSH05,Battle Styles,Cheryl,0.08
SWSH05,Battle Styles,Cheryl (Full Art),11.73
SWSH05,Battle Styles,Cheryl (Secret),8.5
SWSH05,Battle Styles,Chimecho,0.04
SWSH05,Battle Styles,Claydol,0.09
SWSH05,Battle Styles,Coalossal,0.24
SWSH05,Battle Styles,Conkeldurr,0.1
SWSH05,Battle Styles,Corphish,0.02
SWSH05,Battle Styles,Corviknight V,0.9
SWSH05,Battle Styles,Corviknight V (Full Art),3.3
SWSH05,Battle Styles,Corviknight VMAX,1.94
SWSH05,Battle Styles,Corviknight VMAX (Secret),9.91
SWSH05,Battle Styles,Crawdaunt,0.04
SWSH05,Battle Styles,Crobat,0.26
SWSH05,Battle Styles,Cubone,0.04
SWSH05,Battle Styles,Dottler,0.03
SWSH05,Battle Styles,Doublade,0.05
SWSH05,Battle Styles,Drampa,0.1
SWSH05,Battle Styles,Durant,0.05
SWSH05,Battle Styles,Electabuzz,0.03
SWSH05,Battle Styles,Electivire,0.09
SWSH05,Battle Styles,Emboar,0.2
SWSH05,Battle Styles,Empoleon V,1.01
SWSH05,Battle Styles,Empoleon V (Alternate Full Art),38.77
SWSH05,Battle Styles,Empoleon V (Full Art),6.26
SWSH05,Battle Styles,Energy Recycler,0.42
SWSH05,Battle Styles,Entei,0.32
SWSH05,Battle Styles,Escape Rope,0.21
SWSH05,Battle Styles,Espurr,0.03
SWSH05,Battle Styles,Exp. Share,0.12
SWSH05,Battle Styles,Exp. Share (Secret),4.38
SWSH05,Battle Styles,Falinks,0.1
SWSH05,Battle Styles,Fan of Waves,0.14
SWSH05,Battle Styles,Fearow,0.04
SWSH05,Battle Styles,Flapple V,0.72
SWSH05,Battle Styles,Flapple V (Full Art),3.05
SWSH05,Battle Styles,Flapple VMAX,1.55
SWSH05,Battle Styles,Flapple VMAX (Secret),7.97
SWSH05,Battle Styles,Fomantis,0.02
SWSH05,Battle Styles,Frillish,0.03
SWSH05,Battle Styles,Galarian Mr. Mime,0.03
SWSH05,Battle Styles,Galarian Mr. Rime,0.11
SWSH05,Battle Styles,Galarian Slowbro,0.13
SWSH05,Battle Styles,Galarian Slowpoke,0.03
SWSH05,Battle Styles,Glameow,0.02
SWSH05,Battle Styles,Gligar,0.02
SWSH05,Battle Styles,Gliscor,0.04
SWSH05,Battle Styles,Golbat,0.05
SWSH05,Battle Styles,Grumpig,0.03
SWSH05,Battle Styles,Gurdurr,0.03
SWSH05,Battle Styles,Heatmor,0.03
SWSH05,Battle Styles,Honchkrow,0.02
SWSH05,Battle Styles,Honedge,0.04
SWSH05,Battle Styles,Horsea,0.03
SWSH05,Battle Styles,Houndoom,0.28
SWSH05,Battle Styles,Houndoom (Secret),13.73
SWSH05,Battle Styles,Houndour,0.07
SWSH05,Battle Styles,Indeedee,0.03
SWSH05,Battle Styles,Jellicent,0.1
SWSH05,Battle Styles,Kingdra,0.32
SWSH05,Battle Styles,Korrina's Focus,0.06
SWSH05,Battle Styles,Korrina's Focus (Full Art),4.16
SWSH05,Battle Styles,Korrina's Focus (Secret),6.13
SWSH05,Battle Styles,Kricketune V,0.8
SWSH05,Battle Styles,Kricketune V (Full Art),2.74
SWSH05,Battle Styles,Level Ball,0.16
SWSH05,Battle Styles,Level Ball (Secret),14.12
SWSH05,Battle Styles,Lickilicky,0.08
SWSH05,Battle Styles,Lickitung,0.03
SWSH05,Battle Styles,Lurantis,0.11
SWSH05,Battle Styles,Luxio,0.05
SWSH05,Battle Styles,Luxray,0.23
SWSH05,Battle Styles,Mankey,0.05
SWSH05,Battle Styles,Marowak,0.11
SWSH05,Battle Styles,Mawile,0.04
SWSH05,Battle Styles,Meowstic,0.24
SWSH05,Battle Styles,Mienfoo,0.02
SWSH05,Battle Styles,Mienshao,0.09
SWSH05,Battle Styles,Mimikyu V,0.7
SWSH05,Battle Styles,Mimikyu V (Full Art),7.78
SWSH05,Battle Styles,Morpeko,0.06
SWSH05,Battle Styles,Murkrow,0.03
SWSH05,Battle Styles,Necrozma V,0.78
SWSH05,Battle Styles,Necrozma V (Full Art),4
SWSH05,Battle Styles,Octillery,0.29
SWSH05,Battle Styles,Octillery (Secret),7.03
SWSH05,Battle Styles,Onix,0.04
SWSH05,Battle Styles,Orbeetle,0.18
SWSH05,Battle Styles,Pachirisu,0.04
SWSH05,Battle Styles,Pawniard,0.02
SWSH05,Battle Styles,Phoebe,0.04
SWSH05,Battle Styles,Phoebe (Full Art),12.37
SWSH05,Battle Styles,Phoebe (Secret),7
SWSH05,Battle Styles,Pignite,0.05
SWSH05,Battle Styles,Primeape,0.13
SWSH05,Battle Styles,Purugly,0.02
SWSH05,Battle Styles,Rapid Strike Energy,0.09
SWSH05,Battle Styles,Rapid Strike Energy (Secret),5.05
SWSH05,Battle Styles,Rapid Strike Scroll of Swirls,0.06
SWSH05,Battle Styles,Rapid Strike Style Mustard,0.05
SWSH05,Battle Styles,Rapid Strike Style Mustard (Full Art),1.58
SWSH05,Battle Styles,Rapid Strike Style Mustard (Secret),4.45
SWSH05,Battle Styles,Rapid Strike Urshifu V,0.76
SWSH05,Battle Styles,Rapid Strike Urshifu V (Alternate Full Art),16.66
SWSH05,Battle Styles,Rapid Strike Urshifu V (Full Art),4.34
SWSH05,Battle Styles,Rapid Strike Urshifu VMAX,1.69
SWSH05,Battle Styles,Rapid Strike Urshifu VMAX (Alternate Art Secret),70.51
SWSH05,Battle Styles,Rapid Strike Urshifu VMAX (Secret),12.12
SWSH05,Battle Styles,Remoraid,0.07
SWSH05,Battle Styles,Rolycoly,0.03
SWSH05,Battle Styles,Salandit,0.05
SWSH05,Battle Styles,Salazzle,0.08
SWSH05,Battle Styles,Sandaconda,0.19
SWSH05,Battle Styles,Scatterbug,0.05
SWSH05,Battle Styles,Seadra,0.04
SWSH05,Battle Styles,Shinx,0.04
SWSH05,Battle Styles,Silicobra,0.02
SWSH05,Battle Styles,Single Strike Energy,0.13
SWSH05,Battle Styles,Single Strike Energy (Secret),12
SWSH05,Battle Styles,Single Strike Scroll of Scorn,0.07
SWSH05,Battle Styles,Single Strike Style Mustard,0.06
SWSH05,Battle Styles,Single Strike Style Mustard (Full Art),2.01
SWSH05,Battle Styles,Single Strike Style Mustard (Secret),5.17
SWSH05,Battle Styles,Single Strike Urshifu V,0.65
SWSH05,Battle Styles,Single Strike Urshifu V (Alternate Full Art),17.13
SWSH05,Battle Styles,Single Strike Urshifu V (Full Art),3.9
SWSH05,Battle Styles,Single Strike Urshifu VMAX,1.99
SWSH05,Battle Styles,Single Strike Urshifu VMAX (Alternate Art Secret),37.03
SWSH05,Battle Styles,Single Strike Urshifu VMAX (Secret),10.96
SWSH05,Battle Styles,Sizzlipede,0.05
SWSH05,Battle Styles,Sordward & Shielbert,0.05
SWSH05,Battle Styles,Spearow,0.03
SWSH05,Battle Styles,Spewpa,0.04
SWSH05,Battle Styles,Spoink,0.03
SWSH05,Battle Styles,Steelix,0.26
SWSH05,Battle Styles,Stonjourner,0.21
SWSH05,Battle Styles,Stoutland V,1
SWSH05,Battle Styles,Stoutland V (Full Art),7.53
SWSH05,Battle Styles,Tapu Bulu,0.23
SWSH05,Battle Styles,Tapu Koko V,0.74
SWSH05,Battle Styles,Tapu Koko V (Full Art),3.36
SWSH05,Battle Styles,Tapu Koko VMAX,2.09
SWSH05,Battle Styles,Tapu Koko VMAX (Secret),8.41
SWSH05,Battle Styles,Tepig,0.04
SWSH05,Battle Styles,Timburr,0.03
SWSH05,Battle Styles,Tool Jammer,0.09
SWSH05,Battle Styles,Tower of Darkness,0.13
SWSH05,Battle Styles,Tower of Waters,0.13
SWSH05,Battle Styles,Tyranitar V,1.23
SWSH05,Battle Styles,Tyranitar V (Alternate Full Art),101.8
SWSH05,Battle Styles,Tyranitar V (Full Art),8.86
SWSH05,Battle Styles,Urn of Vitality,0.14
SWSH05,Battle Styles,Victini V,0.71
SWSH05,Battle Styles,Victini V (Full Art),3.79
SWSH05,Battle Styles,Victini VMAX,2.08
SWSH05,Battle Styles,Victini VMAX (Secret),8.09
SWSH05,Battle Styles,Victreebel,0.1
SWSH05,Battle Styles,Vivillon,0.13
SWSH05,Battle Styles,Weepinbell,0.03
SWSH05,Battle Styles,Yamper,0.03
SWSH05,Battle Styles,Zubat,0.05
SWSH06,Chilling Reign,Abomasnow,0.11
SWSH06,Chilling Reign,Agatha,0.06
SWSH06,Chilling Reign,Agatha (Full Art),4.07
SWSH06,Chilling Reign,Agatha (Secret),4.5
SWSH06,Chilling Reign,Aggron,0.12
SWSH06,Chilling Reign,Ampharos,0.12
SWSH06,Chilling Reign,Aron,0.03
SWSH06,Chilling Reign,Avery,0.14
SWSH06,Chilling Reign,Avery (Full Art),6.6
SWSH06,Chilling Reign,Avery (Secret),6.86
SWSH06,Chilling Reign,Banette,0.1
SWSH06,Chilling Reign,Beedrill,0.32
SWSH06,Chilling Reign,Blaziken V,0.76
SWSH06,Chilling Reign,Blaziken V (Full Art),4.88
SWSH06,Chilling Reign,Blaziken VMAX,1.68
